Sort by inserts:
(Array size, average comparison count): 
(1000, 513008)
(2000, 2009818)
(3000, 4507844)
(4000, 8019280)
(5000, 12629175)
(6000, 18077990)
(7000, 24561230)
(8000, 32094127)
(9000, 40376823)
(10000, 49966414)

(Array size, average copy count): 
(1000, 256504)
(2000, 1004909)
(3000, 2253922)
(4000, 4009640)
(5000, 6314587)
(6000, 9038995)
(7000, 12280615)
(8000, 16047063)
(9000, 20188411)
(10000, 24983207)

Shaker sort: 
(Array size, average comparison count): 
(1000, 1014917)
(2000, 4048183)
(3000, 8903865)
(4000, 15818475)
(5000, 24717305)
(6000, 35801089)
(7000, 49071653)
(8000, 63631507)
(9000, 81349645)
(10000, 99572271)

(Array size, average copy count): 
(1000, 253729)
(2000, 1012045)
(3000, 2225966)
(4000, 3954618)
(5000, 6179326)
(6000, 8950272)
(7000, 12267913)
(8000, 15907876)
(9000, 20337411)
(10000, 24893067)

Comb sort: 
(Array size, average comparison count): 
(1000, 34244)
(2000, 77509)
(3000, 123395)
(4000, 170868)
(5000, 218832)
(6000, 271320)
(7000, 321991)
(8000, 375563)
(9000, 424112)
(10000, 480101)
(25000, 

(Array size, average copy count): 
(1000, 4065)
(2000, 9167)
(3000, 14142)
(4000, 19643)
(5000, 24655)
(6000, 30499)
(7000, 35069)
(8000, 39947)
(9000, 45478)
(10000, 50155)

Sort by inserts: 
(Array size, average comparison count): 
(1, 0)
(2, 0)
(3, 0)
(4, 0)
(5, 0)
(6, 0)
(7, 0)
(8, 0)
(9, 0)
(10, 0)

(Array size, average copy count): 
(1, 0)
(2, 0)
(3, 0)
(4, 0)
(5, 0)
(6, 0)
(7, 0)
(8, 0)
(9, 0)
(10, 0)
Shaker sort: 
(Array size, average comparison count): 
(1, 1)
(2, 1)
(3, 1)
(4, 1)
(5, 1)
(6, 1)
(7, 1)
(8, 1)
(9, 1)
(10, 1)

(Array size, average copy count): 
(1, 0)
(2, 0)
(3, 0)
(4, 0)
(5, 0)
(6, 0)
(7, 0)
(8, 0)
(9, 0)
(10, 0)
Comb sort: 
(Array size, average comparison count): 
(1, 0)
(2, 0)
(3, 0)
(4, 0)
(5, 0)
(6, 0)
(7, 0)
(8, 0)
(9, 0)
(10, 0)

(Array size, average copy count): 
(1, 0)
(2, 0)
(3, 0)
(4, 0)
(5, 0)
(6, 0)
(7, 0)
(8, 0)
(9, 0)
(10, 0)
Shaker sort: 
(Array size, average comparison count): 
(1, 0)
(2, 0)
(3, 0)
(4, 0)
(5, 0)
(6, 0)
(7, 0)
(8, 0)
(9, 0)
(10, 0)

(Array size, average copy count): 
(1, 0)
(2, 0)
(3, 0)
(4, 0)
(5, 0)
(6, 0)
(7, 0)
(8, 0)
(9, 0)
(10, 0)
Comb sort: 
(Array size, average comparison count): 
(1, 0)
(2, 0)
(3, 0)
(4, 0)
(5, 0)
(6, 0)
(7, 0)
(8, 0)
(9, 0)
(10, 0)

(Array size, average copy count): 
(1, 0)
(2, 0)
(3, 0)
(4, 0)
(5, 0)
(6, 0)
(7, 0)
(8, 0)
(9, 0)
(10, 0)

Sort by inserts: 
(Array size, average comparison count): 
(1, 1001000)
(2, 4002000)
(3, 9003000)
(4, 16004000)
(5, 25005000)
(6, 36006000)
(7, 49007000)
(8, 64008000)
(9, 81009000)
(10, 100010000)

(Array size, average copy count): 
(1, 500500)
(2, 2001000)
(3, 4501500)
(4, 8002000)
(5, 12502500)
(6, 18003000)
(7, 24503500)
(8, 32004000)
(9, 40504500)
(10, 50005000)
Shaker sort: 
(Array size, average comparison count): 
(1, 2002000)
(2, 8004000)
(3, 18006000)
(4, 32008000)
(5, 50010000)
(6, 72012000)
(7, 98014000)
(8, 128016000)
(9, 162018000)
(10, 200020000)

(Array size, average copy count): 
(1, 500500)
(2, 2001000)
(3, 4501500)
(4, 8002000)
(5, 12502500)
(6, 18003000)
(7, 24503500)
(8, 32004000)
(9, 40504500)
(10, 50005000)
Comb sort: 
(Array size, average comparison count): 
(1, 4752)
(2, 10338)
(3, 15702)
(4, 22128)
(5, 28302)
(6, 34254)
(7, 40218)
(8, 45984)
(9, 52116)
(10, 58326)

(Array size, average copy count): 
(1, 1584)
(2, 3446)
(3, 5234)
(4, 7376)
(5, 9434)
(6, 11418)
(7, 13406)
(8, 15328)
(9, 17372)
(10, 19442)
